KEGG	Compound	Enzyme	Enzyme Name	Gene Name	Entrez
C00001	H2O	1.1.1.1	alcohol dehydrogenase	ADH1A	124
C00001	H2O	1.1.1.1	alcohol dehydrogenase	ADH1B	125
C00001	H2O	1.1.1.1	alcohol dehydrogenase	ADH1C	126
C00001	H2O	1.1.1.1	alcohol dehydrogenase	ADH4	127
C00001	H2O	1.1.1.1	alcohol dehydrogenase	ADH5	128
C00001	H2O	1.1.1.1	alcohol dehydrogenase	ADH6	130
C00001	H2O	1.1.1.1	alcohol dehydrogenase	ADH7	131
C00001	H2O	1.1.1.22	UDP-glucose 6-dehydrogenase	UGDH	7358
C00001	H2O	1.1.1.170	3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating)	NSDHL	50814
C00001	H2O	1.1.1.205	IMP dehydrogenase	IMPDH1	3614
C00001	H2O	1.1.1.205	IMP dehydrogenase	IMPDH2	3615
C00001	H2O	1.1.1.270	3beta-hydroxysteroid 3-dehydrogenase	HSD17B7	51478
C00001	H2O	1.1.1.270	3beta-hydroxysteroid 3-dehydrogenase	DHRS11	79154
C00001	H2O	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH2	217
C00001	H2O	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH1B1	219
C00001	H2O	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH9A1	223
C00001	H2O	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH3A2	224
C00001	H2O	1.2.1.3	aldehyde dehydrogenase (NAD+)	ALDH7A1	501
C00001	H2O	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH3A1	218
C00001	H2O	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH1A3	220
C00001	H2O	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH3B1	221
C00001	H2O	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	ALDH3B2	222
C00001	H2O	1.2.1.8	betaine-aldehyde dehydrogenase	ALDH7A1	501
C00001	H2O	1.2.1.24	succinate-semialdehyde dehydrogenase (NAD+)	ALDH5A1	7915
C00001	H2O	1.2.1.31	L-aminoadipate-semialdehyde dehydrogenase	ALDH7A1	501
C00001	H2O	1.2.1.32	aminomuconate-semialdehyde dehydrogenase	ALDH8A1	64577
C00001	H2O	1.2.1.36	retinal dehydrogenase	ALDH1A1	216
C00001	H2O	1.2.1.36	retinal dehydrogenase	ALDH1A2	8854
C00001	H2O	1.2.1.47	4-trimethylammoniobutyraldehyde dehydrogenase	ALDH9A1	223
C00001	H2O	1.2.1.88	L-glutamate gamma-semialdehyde dehydrogenase	ALDH4A1	8659
C00001	H2O	1.2.3.1	aldehyde oxidase	AOX1	316
C00001	H2O	1.3.3.3	coproporphyrinogen oxidase	CPOX	1371
C00001	H2O	1.4.1.3	glutamate dehydrogenase [NAD(P)+]	GLUD1	2746
C00001	H2O	1.4.1.3	glutamate dehydrogenase [NAD(P)+]	GLUD2	2747
C00001	H2O	1.4.1.21	aspartate dehydrogenase	ASPDH	554235
C00001	H2O	1.4.3.1	D-aspartate oxidase	DDO	8528
C00001	H2O	1.4.3.2	L-amino-acid oxidase	IL4I1	259307
C00001	H2O	1.4.3.3	D-amino-acid oxidase	DAO	1610
C00001	H2O	1.4.3.4	monoamine oxidase	MAOA	4128
C00001	H2O	1.4.3.4	monoamine oxidase	MAOB	4129
C00001	H2O	1.4.3.5	pyridoxal 5'-phosphate synthase	PNPO	55163
C00001	H2O	1.4.3.13	protein-lysine 6-oxidase	LOX	4015
C00001	H2O	1.4.3.21	primary-amine oxidase	AOC2	314
C00001	H2O	1.4.3.21	primary-amine oxidase	AOC3	8639
C00001	H2O	1.4.3.22	diamine oxidase	AOC1	26
C00001	H2O	1.5.1.6	formyltetrahydrofolate dehydrogenase	ALDH1L1	10840
C00001	H2O	1.5.1.6	formyltetrahydrofolate dehydrogenase	ALDH1L2	160428
C00001	H2O	1.5.1.8	saccharopine dehydrogenase (NADP+, L-lysine-forming)	AASS	10157
C00001	H2O	1.5.1.9	saccharopine dehydrogenase (NAD+, L-glutamate-forming)	AASS	10157
C00001	H2O	1.5.3.1	sarcosine oxidase	PIPOX	51268
C00001	H2O	1.5.3.13	N1-acetylpolyamine oxidase	PAOX	196743
C00001	H2O	1.5.3.16	spermine oxidase	SMOX	54498
C00001	H2O	1.5.8.3	sarcosine dehydrogenase	SARDH	1757
C00001	H2O	1.8.1.9	thioredoxin-disulfide reductase	TXNRD2	10587
C00001	H2O	1.8.1.9	thioredoxin-disulfide reductase	TXNRD3	114112
C00001	H2O	1.8.1.9	thioredoxin-disulfide reductase	TXNRD1	7296
C00001	H2O	1.8.3.1	sulfite oxidase	SUOX	6821
C00001	H2O	1.8.3.4	methanethiol oxidase	SELENBP1	8991
C00001	H2O	1.8.3.5	prenylcysteine oxidase	PCYOX1	51449
C00001	H2O	1.8.3.6	farnesylcysteine lyase	PCYOX1	51449
C00001	H2O	1.8.3.7	formylglycine-generating enzyme	SUMF1	285362
C00001	H2O	1.8.4.11	peptide-methionine (S)-S-oxide reductase	MSRA	4482
C00001	H2O	1.8.4.12	peptide-methionine (R)-S-oxide reductase	MSRB2	22921
C00001	H2O	1.8.4.12	peptide-methionine (R)-S-oxide reductase	MSRB3	253827
C00001	H2O	1.8.4.12	peptide-methionine (R)-S-oxide reductase	MSRB1	51734
C00001	H2O	1.9.3.1	cytochrome-c oxidase	COX1	4512
C00001	H2O	1.11.1.6	catalase	CAT	847
C00001	H2O	1.11.1.7	peroxidase	PXDNL	137902
C00001	H2O	1.11.1.7	peroxidase	LPO	4025
C00001	H2O	1.11.1.7	peroxidase	PXDN	7837
C00001	H2O	1.11.1.7	peroxidase	EPX	8288
C00001	H2O	1.11.1.7	peroxidase	PRDX6	9588
C00001	H2O	1.11.1.8	iodide peroxidase	TPO	7173
C00001	H2O	1.11.1.9	glutathione peroxidase	GPX6	257202
C00001	H2O	1.11.1.9	glutathione peroxidase	GPX1	2876
C00001	H2O	1.11.1.9	glutathione peroxidase	GPX2	2877
C00001	H2O	1.11.1.9	glutathione peroxidase	GPX3	2878
C00001	H2O	1.11.1.9	glutathione peroxidase	GPX5	2880
C00001	H2O	1.11.1.9	glutathione peroxidase	GPX7	2882
C00001	H2O	1.11.1.9	glutathione peroxidase	GPX8	493869
C00001	H2O	1.11.1.12	phospholipid-hydroperoxide glutathione peroxidase	GPX4	2879
C00001	H2O	1.11.1.15	peroxiredoxin	PRDX4	10549
C00001	H2O	1.11.1.15	peroxiredoxin	PRDX3	10935
C00001	H2O	1.11.1.15	peroxiredoxin	PRDX5	25824
C00001	H2O	1.11.1.15	peroxiredoxin	PRDX1	5052
C00001	H2O	1.11.1.15	peroxiredoxin	PRDX2	7001
C00001	H2O	1.11.1.15	peroxiredoxin	PRDX6	9588
C00001	H2O	1.11.2.2	myeloperoxidase	MPO	4353
C00001	H2O	1.13.11.18	persulfide dioxygenase	ETHE1	23474
C00001	H2O	1.13.11.34	arachidonate 5-lipoxygenase	ALOX5	240
C00001	H2O	1.13.99.1	inositol oxygenase	MIOX	55586
C00001	H2O	1.14.13.8	flavin-containing monooxygenase	FMO1	2326
C00001	H2O	1.14.13.8	flavin-containing monooxygenase	FMO2	2327
C00001	H2O	1.14.13.8	flavin-containing monooxygenase	FMO3	2328
C00001	H2O	1.14.13.8	flavin-containing monooxygenase	FMO4	2329
C00001	H2O	1.14.13.8	flavin-containing monooxygenase	FMO5	2330
C00001	H2O	1.14.13.9	kynurenine 3-monooxygenase	KMO	8564
C00001	H2O	1.14.13.32	albendazole monooxygenase	CYP3A4	1576
C00001	H2O	1.14.13.39	nitric-oxide synthase (NADPH)	NOS1	4842
C00001	H2O	1.14.13.39	nitric-oxide synthase (NADPH)	NOS2	4843
C00001	H2O	1.14.13.39	nitric-oxide synthase (NADPH)	NOS3	4846
C00001	H2O	1.14.13.225	F-actin monooxygenase	MICAL3	57553
C00001	H2O	1.14.13.225	F-actin monooxygenase	MICAL1	64780
C00001	H2O	1.14.13.225	F-actin monooxygenase	MICAL2	9645
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP3A7-CYP3A51P	100861540
C00001	H2O	1.14.14.1	unspecific monooxygenase	NA	107987478
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP2D6	107987479
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP4F8	11283
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP1A1	1543
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP1A2	1544
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP1B1	1545
